orderID,customerID,employeeID,orderDate,requiredDate,shippedDate,shipperID,freight,productID,order_unit_price,quantity,discount,companyName,contactName,contactTitle,city,country,productName,quantityPerUnit,product_list_price,discontinued,categoryID,total_order_value,days_to_ship,customer_segment,order_month
10248,VINET,5,2013-07-04,2013-08-01,2013-07-16,3,32.38,11,14.0,12,0.0,Vins et alcools Chevalier,Paul Henriot,Accounting Manager,Reims,France,Queso Cabrales,1 kg pkg.,21.0,0,4,168.0,12,Low,2013-07
10248,VINET,5,2013-07-04,2013-08-01,2013-07-16,3,32.38,42,9.8,10,0.0,Vins et alcools Chevalier,Paul Henriot,Accounting Manager,Reims,France,Singaporean Hokkien Fried Mee,32 - 1 kg pkgs.,14.0,1,5,98.0,12,Low,2013-07
10248,VINET,5,2013-07-04,2013-08-01,2013-07-16,3,32.38,72,34.8,5,0.0,Vins et alcools Chevalier,Paul Henriot,Accounting Manager,Reims,France,Mozzarella di Giovanni,24 - 200 g pkgs.,34.8,0,4,174.0,12,Low,2013-07
10274,VINET,6,2013-08-06,2013-09-03,2013-08-16,1,6.01,72,27.8,7,0.0,Vins et alcools Chevalier,Paul Henriot,Accounting Manager,Reims,France,Mozzarella di Giovanni,24 - 200 g pkgs.,34.8,0,4,194.6,10,Low,2013-08
10274,VINET,6,2013-08-06,2013-09-03,2013-08-16,1,6.01,71,17.2,20,0.0,Vins et alcools Chevalier,Paul Henriot,Accounting Manager,Reims,France,Flotemysost,10 - 500 g pkgs.,21.5,0,4,344.0,10,Low,2013-08
10295,VINET,2,2013-09-02,2013-09-30,2013-09-10,2,1.15,56,30.4,4,0.0,Vins et alcools Chevalier,Paul Henriot,Accounting Manager,Reims,France,Gnocchi di nonna Alice,24 - 250 g pkgs.,38.0,0,5,121.6,8,Low,2013-09
10737,VINET,2,2014-11-11,2014-12-09,2014-11-18,2,7.79,13,6.0,4,0.0,Vins et alcools Chevalier,Paul Henriot,Accounting Manager,Reims,France,Konbu,2 kg box,6.0,0,8,24.0,7,Low,2014-11
10737,VINET,2,2014-11-11,2014-12-09,2014-11-18,2,7.79,41,9.65,12,0.0,Vins et alcools Chevalier,Paul Henriot,Accounting Manager,Reims,France,Jack's New England Clam Chowder,12 - 12 oz cans,9.65,0,8,115.80000000000001,7,Low,2014-11
10739,VINET,3,2014-11-12,2014-12-10,2014-11-17,3,11.08,36,19.0,6,0.0,Vins et alcools Chevalier,Paul Henriot,Accounting Manager,Reims,France,Inlagd Sill,24 - 250 g  jars,19.0,0,8,114.0,5,Low,2014-11
10739,VINET,3,2014-11-12,2014-12-10,2014-11-17,3,11.08,52,7.0,18,0.0,Vins et alcools Chevalier,Paul Henriot,Accounting Manager,Reims,France,Filo Mix,16 - 2 kg boxes,7.0,0,5,126.0,5,Low,2014-11
10770,HANAR,8,2014-12-09,2015-01-06,2014-12-17,3,5.32,11,21.0,15,0.25,Hanari Carnes,Mario Pontes,Accounting Manager,Rio de Janeiro,Brazil,Queso Cabrales,1 kg pkg.,21.0,0,4,236.25,8,High,2014-12
10541,HANAR,2,2014-05-19,2014-06-16,2014-05-29,1,68.65,71,21.5,9,0.1,Hanari Carnes,Mario Pontes,Accounting Manager,Rio de Janeiro,Brazil,Flotemysost,10 - 500 g pkgs.,21.5,0,4,174.15,10,High,2014-05
10690,HANAR,1,2014-10-02,2014-10-30,2014-10-03,1,15.8,56,38.0,20,0.25,Hanari Carnes,Mario Pontes,Accounting Manager,Rio de Janeiro,Brazil,Gnocchi di nonna Alice,24 - 250 g pkgs.,38.0,0,5,570.0,1,High,2014-10
